,x_train,y_train
0,-2.4527073,0.91953444
1,-3.4156308,-0.7687528
2,-1.7795103,0.9712879
3,-0.27288485,0.65373707
4,-0.14417982,-0.1695044
5,0.37237024,-0.74741834
6,-3.1505623,0.40405032
7,0.23530626,-0.5480742
8,-2.0005126,1.0299205
9,-0.79639935,0.5301594
10,-3.7346916,-0.942844
11,-3.3489027,-0.092910945
12,-1.0194736,1.3096007
13,-0.3512969,0.40315062
14,-3.691167,-1.2391853
15,-2.8924124,0.39602795
16,0.7063384,-0.8117815
17,0.755126,-1.0807333
18,-1.5151701,1.367255
19,-2.170104,0.66902405
20,-3.9732585,-2.1519697
21,-0.4077444,0.5167072
22,0.92975664,-0.60583586
23,-2.2382808,1.2562863
24,-0.14935994,0.2001967
25,-3.2793164,-0.49071065
26,-0.18429327,0.14018185
27,-0.81195617,0.5802591
28,0.20318127,-0.15391247
29,-0.7026355,0.7773645
30,-1.7184968,1.2495539
31,-1.0516787,1.0145144
32,0.292634,-0.18220992
33,0.8230691,-0.7010167
34,-3.8188295,-1.8807058
35,0.75455046,-0.7840352
36,-3.7781947,-1.7373575
37,0.16643095,-0.13731372
38,-1.8793235,1.2072408
39,-3.627174,-0.95031005
40,-0.47158003,0.6263446
41,-2.4667442,0.65164125
42,-0.57085943,0.46781993
43,-2.9362855,0.45940074
44,0.3131981,-0.56057674
45,-3.3986535,-0.66787523
46,-3.674974,-1.4722724
47,0.11671209,-0.25262353
48,-0.8247137,0.7719071
49,0.5382948,-1.0094038
50,-1.1481469,1.0432853
51,-0.11947274,0.39765245
52,0.03211689,-0.02440041
53,-2.0175927,1.1578549
54,-3.0513895,0.09619151
55,-2.431822,0.72656786
56,-0.8574362,0.10400301
57,-1.4466298,1.7085164
58,-0.60676146,0.41352856
59,-0.6255121,0.7279749
60,-2.8396225,0.4366855
61,-1.5069733,1.1244991
62,-3.55975,-0.47759426
63,-0.5895045,0.5761888
64,-0.08321476,-0.10568407
65,-1.8643394,1.3129177
66,-3.747113,-1.0737898
67,-1.3908188,1.3146688
68,-2.1102676,1.1825355
69,-0.8150232,1.1185548
70,-1.495903,1.1594865
71,-2.1588974,1.2045823
72,-0.6879332,0.77215064
73,-0.14223099,0.45665264
74,-3.4728897,-0.7866981
75,0.18429899,-0.03819716
76,0.73466206,-0.54018587
77,-2.6984987,1.2438748
78,0.5776553,-0.60818756
79,-3.2856717,-0.27312243
80,0.8098159,-0.88190746
81,-3.3780458,-0.43550786
82,-1.1961191,1.0685611
83,3.4831185,0.4154351
84,3.915976,2.0164459
85,3.7541711,1.2933781
86,3.5788772,1.795041
87,3.0526614,-0.40096927
88,3.1032848,-0.14533101
89,3.7372563,1.837618
90,3.306617,0.74632204
91,3.4187274,0.23906282
92,3.6822443,1.1137098
93,3.0082645,-0.18875459
94,3.7838004,1.8652031
95,3.919947,1.6537106
96,3.1174998,-0.109524176
97,3.9675615,2.2140949
98,3.7599828,1.3667346
99,-0.44387293,0.14887828
