,x_train,y_train
0,1.4164934,0.7882502
1,-1.0104293,-0.48356792
2,-2.7318416,-0.702802
3,-0.16306782,0.8719028
4,1.0405321,1.6209984
5,2.0541048,-1.0231273
6,-1.1758586,-0.3159296
7,1.9570632,-0.85690916
8,0.7098284,1.8459157
9,-0.87481856,-0.48383403
10,2.1126857,-1.3860145
11,-1.8423339,0.44945073
12,0.60255814,1.3638666
13,2.1155243,-1.3835593
14,-0.57157874,-0.014251385
15,0.029620886,0.78275025
16,-1.6016625,-0.57149893
17,-1.8139333,0.16014382
18,0.020133495,0.7432163
19,-1.1679375,-0.7204441
20,2.6515594,-1.5691034
21,-0.091946125,1.1269077
22,-2.6844313,-0.08141561
23,-2.4250588,0.3417414
24,-1.3887974,0.09709908
25,-1.0981253,-0.6405393
26,1.660821,-0.2086918
27,0.05090809,0.8126583
28,1.1447935,1.4202199
29,-2.7478352,-0.010479465
30,-2.2829003,4.1484833e-05
31,1.7578392,-0.5431418
32,2.529729,-1.7989613
33,0.05401516,0.79178846
34,-0.18924189,1.0089824
35,1.4783602,0.5107226
36,0.32842255,1.8181125
37,-0.25039196,0.43654013
38,-2.2428784,0.5125532
39,-1.1470753,-0.29277414
40,2.1694517,-1.2358793
41,2.8675613,-1.7384701
42,-1.0009181,-0.455023
43,1.8013191,-0.88334846
44,-1.263417,0.17456678
45,0.68847036,1.5862851
46,1.4418998,-0.15469378
47,-1.1433184,-0.125453
48,0.9322138,1.411566
49,-2.3322382,0.3176743
50,1.228138,1.2829545
51,2.993991,-1.4184141
52,-0.4585626,0.5136405
53,-0.3011446,0.23099822
54,2.9661846,-1.1594907
55,-1.9092611,0.09384854
56,2.3276663,-1.381094
57,-0.8069854,-0.4785555
58,0.912833,1.3216372
59,-2.7486572,0.17698154
60,2.5652804,-1.4086664
61,1.5307217,0.13914333
62,-1.2788179,-0.09619509
63,-1.6180898,-0.17444912
64,-0.33246708,0.7158903
65,0.09656882,1.259487
66,0.79267883,1.9276695
67,0.7620182,1.3450229
68,2.9612484,-1.3006947
69,-2.951595,-0.69513005
70,2.1658788,-1.531216
71,-0.29465747,-0.070479095
72,2.0652657,-1.0943506
73,1.2994642,1.2966988
74,1.2406015,0.3642525
75,1.8563128,-0.51891446
76,-1.7890956,0.25842687
77,2.1037617,-1.0589396
78,1.5534782,-0.076217644
79,1.3677645,0.21533138
80,-2.0694342,0.66930616
81,0.25966024,1.5228392
82,-2.566141,0.30220062
83,0.35730648,1.2983067
84,2.8261776,-1.4516004
85,1.8626852,-0.9089022
86,0.11733198,1.6455728
87,-0.3618214,0.3461582
88,-0.7332821,-0.2173159
89,-2.403715,0.2530968
90,-1.0695605,-0.47770867
91,1.3056402,0.5152627
92,-0.24650764,0.32365578
93,0.58822775,1.8528317
94,0.8436451,1.814209
95,2.622878,-1.7055244
96,-0.98599577,-0.731231
97,0.46702552,1.8876017
98,-2.2818894,0.03265044
99,0.24264574,1.5143613
