,x_train,y_train
0,-5.373887,1.2294888
1,-4.5298967,-1.9581242
2,-2.2906268,-0.3983836
3,-5.4371223,0.461388
4,-5.159004,-0.60472596
5,-4.805609,-1.1765647
6,-4.755077,-1.7971923
7,-2.0518553,0.45882675
8,-2.0821142,0.79139847
9,-3.040138,-1.597094
10,-3.7335756,-2.180999
11,-3.196496,-1.1691204
12,-5.4120336,0.8041128
13,-3.3358855,-2.710618
14,-3.0666084,-1.4475986
15,-2.3583899,0.108961195
16,-3.9796734,-3.5917375
17,-5.0274067,-1.7655375
18,-4.0715322,-3.5645964
19,-5.896966,3.8710246
20,-5.383025,0.71770746
21,-4.1227703,-3.4024453
22,-3.881965,-2.5290983
23,-4.552641,-2.4941044
24,-4.624179,-1.3570409
25,-4.6886263,-1.9272212
26,-4.6909266,-1.4703602
27,-2.3240802,-0.4576392
28,-4.6718774,-2.6105201
29,-4.3885183,-2.245094
30,-3.0227454,-1.596422
31,-5.52423,1.2547078
32,-3.0096276,-0.8170618
33,-4.7045503,-1.6979778
34,-3.5952992,-2.439406
35,-3.0725787,-0.22851098
36,-2.8999414,0.12828988
37,-4.0989704,-3.6519167
38,-5.4320374,0.8539522
39,-5.4306903,0.88972425
40,-2.639238,-0.7112644
41,-4.405838,-3.5925798
42,-3.7407653,-2.9946043
43,-2.4753041,0.3281774
44,-2.2916822,0.8798486
45,-4.1796837,-3.1251764
46,-2.36922,0.19190831
47,-4.3524427,-3.4114451
48,-3.4302654,-2.9691048
49,5.42132,1.3271481
50,3.8035765,-5.260614
51,5.721351,3.3106143
52,4.061847,-4.850665
53,3.531936,-3.8078818
54,5.455317,1.3349257
55,2.671062,0.41865516
56,5.399706,0.88543475
57,3.3087075,-3.1963627
58,2.3163457,1.7389519
59,4.1914515,-4.3383317
60,5.7614536,3.9646747
61,4.9559555,-1.6344123
62,2.0452108,2.3291209
63,3.7237458,-4.7432837
64,5.034195,-2.3460522
65,3.3015118,-3.5186348
66,3.2853308,-3.7646263
67,2.7790568,-1.8234942
68,5.8011727,4.933161
69,5.7905354,3.711696
70,5.837391,4.2216806
71,5.054087,-0.6938323
72,3.7497916,-4.636213
73,3.6345577,-4.802981
74,4.883848,-2.0618546
75,2.3470998,1.4052049
76,2.437156,0.27993232
77,3.201962,-4.2893257
78,5.21581,-0.3951279
79,5.6853933,2.8525887
80,5.5270357,1.6555569
81,5.0577345,-1.9655625
82,4.696638,-3.3565958
83,3.7963374,-5.782954
84,5.345147,0.57604194
85,3.3200452,-2.6735127
86,4.2444067,-4.43256
87,2.7217922,-0.022192508
88,3.9074209,-5.852166
89,5.039695,-1.7924168
90,4.2090454,-4.128646
91,3.067149,-2.340964
92,3.8799794,-4.5315843
93,3.1658597,-2.2548852
94,2.7197244,-0.77543116
95,4.358891,-5.3314204
96,3.4300022,-3.2603745
97,2.9672322,-1.3048233
98,1.7067695,2.4401362
99,-0.6448536,0.47288987
